Epoch,Batch,Loss,Valid Samples,Learning Rate,Key-Value Pair Counts
1,10,2.2954,1024,0.000120,10 pairs: 1024 images;
1,20,2.2877,1024,0.000120,10 pairs: 1021 images; 4 pairs: 1 images;
41,10,1.8321,1024,0.002324,10 pairs: 45 images; 8 pairs: 77 images; 6 pairs: 195 images; 4 pairs: 254 images; 2 pairs: 449 images;
41,20,1.8341,1024,0.002324,10 pairs: 54 images; 8 pairs: 73 images; 6 pairs: 177 images; 4 pairs: 251 images; 2 pairs: 469 images;
41,30,1.8255,1024,0.002324,10 pairs: 49 images; 8 pairs: 80 images; 6 pairs: 168 images; 4 pairs: 272 images; 2 pairs: 455 images;
41,40,1.8486,1024,0.002324,10 pairs: 31 images; 8 pairs: 93 images; 6 pairs: 167 images; 4 pairs: 274 images; 2 pairs: 459 images;
42,10,1.8366,1024,0.002388,10 pairs: 45 images; 8 pairs: 94 images; 6 pairs: 168 images; 4 pairs: 238 images; 2 pairs: 479 images;
42,20,1.8551,1024,0.002388,10 pairs: 46 images; 8 pairs: 85 images; 6 pairs: 203 images; 4 pairs: 255 images; 2 pairs: 434 images;
42,30,1.8340,1024,0.002388,10 pairs: 37 images; 8 pairs: 73 images; 6 pairs: 176 images; 4 pairs: 278 images; 2 pairs: 460 images;
42,40,1.8018,1024,0.002388,10 pairs: 41 images; 8 pairs: 66 images; 6 pairs: 162 images; 4 pairs: 267 images; 2 pairs: 488 images;
43,10,1.8221,1024,0.002449,10 pairs: 44 images; 8 pairs: 79 images; 6 pairs: 164 images; 4 pairs: 265 images; 2 pairs: 472 images;
43,20,1.8375,1024,0.002449,10 pairs: 41 images; 8 pairs: 65 images; 6 pairs: 152 images; 4 pairs: 281 images; 2 pairs: 483 images;
43,30,1.8304,1024,0.002449,10 pairs: 47 images; 8 pairs: 84 images; 6 pairs: 150 images; 4 pairs: 274 images; 2 pairs: 469 images;
43,40,1.8392,1024,0.002449,10 pairs: 39 images; 8 pairs: 81 images; 6 pairs: 165 images; 4 pairs: 284 images; 2 pairs: 453 images;
44,10,1.8107,1024,0.002508,10 pairs: 30 images; 8 pairs: 81 images; 6 pairs: 179 images; 4 pairs: 279 images; 2 pairs: 455 images;
44,20,1.8351,1024,0.002508,10 pairs: 41 images; 8 pairs: 63 images; 6 pairs: 175 images; 4 pairs: 262 images; 2 pairs: 483 images;
44,30,1.8413,1024,0.002508,10 pairs: 35 images; 8 pairs: 87 images; 6 pairs: 149 images; 4 pairs: 287 images; 2 pairs: 465 images;
